Title,Status,Priority,Labels,Assignees,Due date,Description
Call florist — discuss bridal bouquet,In Progress,Urgent,"Vendors,Yiwen",Yiwen,05/22/2026,Found her — connect this week
Confirm + contract bartender,Todo,Urgent,"Vendors,Yiwen",Yiwen,05/22/2026,You have someone in mind — lock her in now!
Book luxury portable bathroom rental,Todo,Urgent,"Venue,Michael",Michael,05/22/2026,Bellport Inn plumbing can't handle 60+ guests
Find + book videographer,Todo,High,"Vendors,Both","Yiwen,Michael",06/05/2026,Fall dates book up fast
Confirm bridesmaids ordered dresses,In Progress,Medium,"Attire,Yiwen",Yiwen,06/22/2026,Color sent — set a hard deadline
Book rehearsal dinner restaurant,Todo,High,"Events,Both","Yiwen,Michael",06/12/2026,Bellport spots for ~20+ incl. China family
Research projector rental for dad's video,Todo,High,"Logistics,Michael",Michael,06/05/2026,Test outdoor AV — daylight visibility
Confirm cousin DJ setup (speakers etc.),Todo,Medium,"Music,Michael",Michael,08/01/2026,Outdoor sound testing needed
Finalize China family rental car (9 ppl),Todo,High,"Guests,Yiwen",Yiwen,06/12/2026,Book minivan/SUV before summer rates peak
Start runner's tan treatment,Todo,Medium,"Beauty,Yiwen",Yiwen,09/15/2026,Gradual self-tanner to blend tan lines for makeup day
Build ceremony music playlist,Todo,Medium,"Music,Both","Yiwen,Michael",08/01/2026,"Processional, dinner, first dance, parent dances"
Confirm EU guests' final headcount,Todo,Medium,"Guests,Michael",Michael,08/31/2026,Needed for seating + catering
Decoration trial (arch + waterfall flowers),Todo,Medium,"Decor,Yiwen",Yiwen,07/31/2026,"Test setup, photograph layout for reference"
Work with Father Bill on ceremony details,Todo,Medium,"Ceremony,Both","Yiwen,Michael",08/15/2026,"Readings, music, vow exchange, walking order"
Buy men's ties + own wedding shoes,Todo,Medium,"Attire,Both","Yiwen,Michael",07/12/2026,Groom + groomsmen ties; your shoes
Flower girl + ring bearer attire,Todo,Medium,"Attire,Both","Yiwen,Michael",08/01/2026,Outfits + rehearsal prep for the kids
Hard check-in: maids have their dresses,Todo,Medium,"Attire,Yiwen",Yiwen,06/26/2026,Don't leave this until August
Book Asheville honeymoon hotel,Todo,Medium,"Honeymoon,Both","Yiwen,Michael",08/22/2026,Target: confirmed before Aug 22
Bachelor party,In Progress,Medium,"Events,Michael",Michael,07/17/2026,"Mid-July — all booked, enjoy!"
Decor trial at Bellport Inn backyard,Todo,Medium,"Decor,Yiwen",Yiwen,07/31/2026,"Arch door, waterfall, table dry arrangements"
Online MUA call — styles + tan brief,Todo,Medium,"Beauty,Yiwen",Yiwen,07/24/2026,"Discuss runner's tan, each person's look"
Finalize Asheville transport + activities,Todo,Medium,"Honeymoon,Michael",Michael,08/22/2026,Before Aug 22 deadline
Confirm liquor quantities with bartender,Todo,Medium,"Vendors,Michael",Michael,08/14/2026,Calculate for 60–65 guests
Design bilingual menus + name cards,Todo,Medium,"Decor,Yiwen",Yiwen,08/17/2026,Chinese + English — allow print lead time
Draft ceremony program (bilingual),Todo,Medium,"Ceremony,Yiwen",Yiwen,08/14/2026,Include Father Bill's sections
Finalize all Asheville bookings by 8/22,Todo,Medium,"Honeymoon,Both","Yiwen,Michael",08/22/2026,Hard deadline — hotel + transport
Finalize vendor meal counts,Todo,Medium,"Vendors,Yiwen",Yiwen,09/04/2026,"Bartender, 5 MUA artists, photographers, coordinator"
Husband's church documents ready,Todo,Medium,"Admin,Michael",Michael,09/11/2026,Confirm exact docs needed with Father Bill
Schedule first dress fitting + alteration,Todo,Medium,"Attire,Yiwen",Yiwen,08/28/2026,Even bought dresses benefit from alterations
Send menus + name cards to print,Todo,Medium,"Decor,Yiwen",Yiwen,08/28/2026,Allow 2–3 weeks in case of reprints
Confirm speech givers,Todo,Medium,"Ceremony,Both","Yiwen,Michael",08/28/2026,Cue dad's video moment in the timeline
Brief MUA team in writing,Todo,Medium,"Beauty,Yiwen",Yiwen,08/28/2026,"Inspo photos, runner's tan notes, each look"
Send day-of timeline draft to JME Planner,Todo,Medium,"Logistics,Both","Yiwen,Michael",09/04/2026,Cottage → church → marina → cocktails → dinner
Place liquor order,Todo,Medium,"Vendors,Michael",Michael,09/11/2026,Coordinate delivery with venue + bartender
